agent_id,svi,arrived_at,end_state,original_mode,final_mode,status,evacuation_time_minutes,total_distance_m,start_lat,start_lon,end_lat,end_lon,fail_reason,started_at,used_public_transport,segments_completed,total_segments,start_in_evacuation_area,end_in_evacuation_area,total_wait_time_minutes,total_transit_time_minutes,total_walking_time_minutes,stations_visited,routes_taken,target_destination_name,target_destination_type,target_destination_lat,target_destination_lon,target_destination_distance_m,destination_category,is_home_destination
42_0528,0.5674273781120514,2025-09-01T08:05:00,,BUS,WALKING,EVACUATING,5.0,385.40096528714605,48.9114055,2.4897214,48.9139977,2.4916458,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],Notre Dame des Lys,school,48.9519554,3.0189843,38870.818202225324,Educational,false
42_0148,0.5197492225840902,2025-09-01T08:05:00,,PRIV_CAR_DRIVER,CAR,EVACUATING,5.0,332.0221175006236,48.9323771,2.060024,48.9326566,2.0564068,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],École élémentaire Louis Lachenal,school,48.9936322,1.6908978,27810.076472452598,Educational,false
42_0425,0.5253404248339033,2025-09-01T08:05:00,,PRIV_CAR_DRIVER,CAR,EVACUATING,5.0,1074.9133785932966,48.8247558,2.3844502,48.8204502,2.3951172,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],École maternelle Robert Lesourd,school,48.4738819,2.7014537,45459.11709492286,Educational,false
42_0308,0.6954420220706902,2025-09-01T08:05:00,,PRIV_CAR_DRIVER,CAR,EVACUATING,5.0,455.0921362187278,48.8837641,2.5316086,48.8821369,2.5373101,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],École primaire Le Moulin Rompu,school,48.9519792,3.0190924,36422.14983621205,Educational,false
42_0516,0.6792759459009748,2025-09-01T08:05:00,,SUBWAY,WALKING,EVACUATING,5.0,247.63031447223887,48.8912488,2.3723522,48.892146,2.3749211,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],Notre Dame des Lys,school,48.9519554,3.0189843,47725.815663316156,Educational,false
42_0148,0.5197492225840902,2025-09-01T08:05:00,,PRIV_CAR_DRIVER,CAR,EVACUATING,5.0,332.0221175006236,48.9323771,2.060024,48.9326566,2.0564068,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],École élémentaire Louis Lachenal,school,48.9936322,1.6908978,27810.076472452598,Educational,false
42_0108,0.4401949176269733,2025-09-01T08:05:00,,BUS,WALKING,EVACUATING,5.0,372.3953922682786,48.8351881,2.5899917,48.8362522,2.5923094,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],Groupe Scolaire Fernand Picot,school,48.8244407,3.039645,32908.91932965413,Educational,false
42_0591,0.5006924423784825,2025-09-01T08:05:00,,WALKING,WALKING,EVACUATING,5.0,171.67526476827112,49.0345582,2.0870297,49.0352178,2.0852827,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],École primaire Arthieul,school,49.1552855,1.8049165,24572.34402708094,Educational,false
42_0449,0.5107720991488784,2025-09-01T08:05:00,,WALKING,WALKING,EVACUATING,5.0,207.2586746122081,48.8888038,2.3734834,48.8894417,2.3749148,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],Notre Dame des Lys,school,48.9519554,3.0189843,47687.384650616244,Educational,false
42_0336,0.5631089885803374,2025-09-01T08:05:00,,PRIV_CAR_DRIVER,CAR,EVACUATING,5.0,742.4351126606014,48.8272724,2.4643669,48.8208507,2.4643179,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],Centre de première intervention et d'appui de Touquin,fire_station,48.7330714,3.0106693,41378.78071694522,Government,false
